id,age,steps
15365,46,5883
55334,41,6141
56584,42,8487
15866,58,7411
77729,46,9389
99791,59,7612
91776,58,7377
26821,42,7357
51521,33,6756
20190,24,6416
25134,47,6925
86964,45,8891
48941,43,7316
65423,43,6819
70686,32,-1
75417,49,3278
70738,42,9500
55603,55,-1
45336,35,5417
67217,24,8116
75410,60,6174
36393,40,9511
54717,34,7489
67755,41,11423
61995,59,3619
30293,42,-1
78910,25,-1
21779,32,9757
53346,50,7980
51817,43,4604
89168,40,7043
86541,41,5596
21321,36,6788
50923,38,5658
77077,56,-1
17654,32,7467
42512,45,6652
85790,46,6610
59541,50,7498
85168,38,7577
26090,33,9068
2694,46,8844
93377,34,-1
37245,29,5479
23422,39,6574
90100,55,6874
52787,30,5797
81063,54,5449
34038,40,7846
79908,32,-1
21413,48,8865
19130,44,8145
14660,35,9824
33113,32,5536
76042,48,6563
39874,28,7973
45011,57,5492
51687,36,10109
44977,46,8136
42972,46,7763
35594,39,7272
46267,55,7132
22230,31,9656
63147,44,4879
35759,45,7602
35704,51,7796
39223,40,6811
60147,36,9495
66468,33,6325
89602,38,7682
14519,48,-1
64205,27,7310
90089,48,7432
14552,53,6816
65004,49,5645
33681,43,9695
48336,34,8200
70551,45,-1
966,47,8310
4007,42,8759
94921,40,7934
19594,34,7716
8563,33,8852
17691,49,6064
30820,40,6499
88831,36,8618
58357,33,7105
70813,39,6859
31302,38,8728
42554,45,-1
44797,34,10457
72228,47,5648
89661,33,-1
32200,38,6368
2778,33,8560
59745,32,8681
44141,30,9912
55938,39,7642
54506,46,6911
92364,50,6751
80464,42,-1
61999,37,5622
28467,46,7664
9842,48,7334
65186,21,6890
35124,49,6775
36514,40,7513
34138,39,7916
71541,41,9272
84807,33,9811
52978,56,4394
64001,42,5644
1116,48,10219
63051,21,8373
14972,59,-1
92790,43,7366
32236,50,7740
65554,49,-1
7409,44,8482
47542,41,8907
97087,42,7795
97120,16,-1
68988,49,8434
94879,53,7041
1356,36,7860
1414,40,9482
78445,59,5768
14247,36,8087
77889,31,9184
76297,42,-1
56287,35,5779
91411,34,10181
44720,29,6932
46120,30,10537
19479,30,9717
39928,44,7399
62258,41,7471
83960,27,8849
17609,39,7066
43932,35,7609
24115,42,9463
31370,50,7158
47949,33,8045
97231,44,7336
35990,33,6574
48064,40,8782
44193,38,7232
3821,44,4905
14644,20,-1
52177,44,7346
65081,26,9554
28739,35,8165
47294,41,7129
58313,43,-1
19696,30,6062
37620,39,7133
26577,41,7122
7134,40,4379
67027,42,8039
23121,30,10158
96360,54,7042
37102,31,9345
90709,39,7152
87,43,6935
85198,38,9174
40497,28,8752
61239,27,7023
73866,51,7530
34251,47,5531
54132,43,8862
62304,31,9946
23491,45,5026
98682,41,8650
406,27,8782
61496,10,8064
30962,45,5266
49935,39,8271
92554,29,7008
46527,51,4920
75961,39,-1
37614,40,9021
80173,57,6399
30153,38,7291
60783,43,9710
43417,42,6718
92407,55,-1
71807,24,7480
10888,51,4568
91560,36,7780
97666,36,7735
44593,49,7027
99268,52,8039
66818,53,7141
44668,53,-1
2546,44,6992
61253,31,6364
84792,46,9625
40651,30,9472
36835,38,5203
86214,31,9220
47251,25,9324
97964,37,6755
18438,39,-1
82605,40,7521
42104,38,6361
26665,40,3690
52920,35,6104
89185,48,5960
45828,47,7435
71393,21,8631
94363,36,-1
16790,51,6748
30277,46,6168
1372,34,6308
47520,44,-1
8936,49,8430
99577,50,5122
66006,44,-1
43053,40,6694
39951,32,6904
30414,53,7094
578,28,9791
83404,48,4964
86762,44,7822
73867,31,5658
56036,34,7868
80272,47,4710
87374,43,8008
21982,53,-1
45766,41,7931
78977,28,-1
1583,35,4577
31231,47,7474
61511,41,11179
87045,32,6294
33225,51,8040
41331,31,6507
29505,42,-1
12282,30,8075
33495,38,8065
76835,27,9648
62413,49,7382
27864,47,8129
69580,41,8224
24764,57,7561
9122,49,-1
81733,41,-1
23035,29,7499
18828,36,10609
20777,49,8211
27918,62,7865
96490,42,6914
72979,39,-1
64404,38,7622
67831,36,7735
8784,40,8080
65314,55,7828
21353,37,6706
33110,53,5999
91418,36,8607
69466,39,-1
4704,39,9570
8028,42,6386
16986,37,8118
75547,36,5320
57143,41,7583
17411,43,8765
97665,32,6390
21614,34,8584
18052,50,6039
69261,39,8044
59359,49,8775
1653,45,9121
52373,43,5046
96152,34,10113
7794,41,5761
30502,58,6509
16987,41,8478
10062,35,5441
34803,43,8890
34739,55,5248
86965,40,6811
18139,47,9286
3791,38,9966
34192,40,8486
46100,41,4855
56834,41,6396
61975,51,4809
81222,25,9190
40212,42,5401
66662,39,8102
95717,52,9727
14215,32,7975
59445,45,-1
38776,29,6761
82672,36,9218
79527,34,9461
98229,44,-1
93666,43,7610
68761,37,7431
93530,36,9557
24277,35,7254
2286,45,6178
93446,43,7322
55254,38,8110
62660,44,7074
44129,46,6730
47010,36,8281
75613,31,-1
78512,37,7296
95476,40,6033
35147,30,6789
270,51,4357
47676,34,6545
77651,33,-1
45208,34,7616
15562,26,7938
17627,42,7880
15543,42,7923
13309,25,10846
49533,42,6387
18727,40,7936
44701,43,5455
29946,39,5808
46601,32,-1
16153,49,6416
68271,39,6351
72785,35,6991
86449,41,6723
2439,40,7543
28745,41,6010
72064,45,9540
12658,34,6108
30710,40,-1
5579,45,6234
85888,38,7519
43999,38,8539
55608,36,-1
48816,52,8391
72065,37,8978
63390,29,9376
4246,53,4008
34015,46,6613
59832,37,8421
37802,39,9364
89332,44,4459
51381,54,5277
44207,25,7719
9194,38,8007
52298,38,8585
31727,44,7363
73817,35,6124
4382,46,6425
10092,45,9336
30895,27,9528
61655,36,6383
96640,49,11691
30357,45,-1
6650,49,5558
44627,49,4826
19315,45,5026
55925,44,7383
23771,41,8499
94850,29,-1
63991,53,7466
92980,34,-1
5178,38,8787
52768,56,6454
22227,49,8000
67014,53,7582
41796,45,7673
21361,48,9085
15478,36,8721
51824,49,7169
80449,41,9558
81134,58,7347
48310,37,8689
43357,44,6524
86492,62,5777
48274,23,12165
4243,45,6811
49718,31,5761
99943,49,7470
22128,37,-1
45956,31,7353
98259,34,5705
11931,42,7448
89828,27,6628
69606,25,10891
27720,51,6992
5464,45,6912
63692,32,7963
42858,36,4475
65182,43,8850
8941,33,8828
72809,35,7283
89343,44,7910
63664,37,8210
14320,35,6225
78884,46,7454
78482,29,8563
61893,37,8836
48072,38,9097
62536,50,4125
91789,39,8650
29343,47,5225
66643,43,9215
63154,48,-1
55434,40,8546
78316,51,4837
10766,41,-1
16305,49,-1
82457,33,8875
68601,43,9161
43217,37,8565
2502,45,9699
41928,37,6670
36694,42,-1
57292,24,9740
53691,47,9800
5448,45,-1
91714,39,7348
51089,39,7449
29699,28,5958
89967,28,4577
22356,41,7376
53789,38,7406
87057,28,8792
68437,39,7231
19375,29,9161
94961,43,8489
74373,46,5396
20925,29,7705
97732,52,5660
32318,29,9706
73562,64,-1
41872,47,8834
20980,38,8114
64861,56,7591
6700,33,7147
8256,37,7509
75814,20,9335
67141,38,8782
7932,30,7785
40350,22,10565
564,29,6038
25352,24,7662
36414,30,8175
80031,37,7211
21010,41,8129
84548,42,10017
53524,55,5825
4568,36,6406
41083,45,7355
87358,46,9052
60288,44,5763
16735,38,3444
37143,39,8931
26764,41,6619
95573,26,7771
81792,42,6301
15618,46,9239
38792,51,6143
47955,40,9299
96492,26,8625
20295,45,6962
41515,39,5716
96284,57,6217
47317,42,8482
65905,29,10215
47978,25,10597
83132,30,10373
7737,34,-1
47823,45,7125
39213,66,7308
61095,41,8684
92766,50,7140
2648,41,8735
5104,37,6393
9962,40,5115
756,43,6741
5540,25,9222
35052,51,-1
14820,38,10670
74566,26,8453
88192,38,7815
4446,40,8033
20000,39,4087
45683,33,7240
48000,43,7833
28664,43,7437
20330,46,6506
47065,26,8514
47339,53,7343
24147,44,5534
61649,46,7685
85697,25,8799
20749,38,9116
73041,40,8516
11720,38,4962
27458,40,9875
13716,37,6337
42364,35,8026
92449,49,6040
71990,37,7653
68797,40,8212
39436,30,9069
93720,43,8751
70745,53,-1
66365,52,9487
38406,43,6538
49019,35,9383
60376,52,5443
27403,29,7197
96452,32,8169
56405,41,4151
29064,43,6197
74857,49,7923
9209,46,5032
4911,39,10309
40592,50,6546
75114,36,8008
58317,40,5848
96444,40,7655
43797,50,4920
57644,42,5640
35550,39,7030
99023,22,8296
2104,47,7302
13813,47,5056
4639,27,-1
39548,49,6225
11181,56,6902
17551,50,5496
21738,35,8590
20989,39,9560
97110,40,7114
57222,30,8102
67586,38,8313
64787,46,7199
86540,64,6759
9375,40,9363
4724,53,7509
45462,28,-1
90691,38,7585
1441,33,-1
11597,40,8438
60228,41,7167
40282,36,8631
17620,39,8795
91017,39,5488
29596,49,8454
50855,40,6834
68793,38,7363
36352,45,7391
78780,41,8217
1684,42,6438
12681,44,-1
98350,41,9130
74851,24,8134
44359,36,8104
1846,48,6903
4050,41,6987
79627,44,6756
3301,48,5984
30095,36,9457
25857,46,8355
29137,46,-1
63563,54,6586
24052,41,9453
65791,53,8823
74118,32,7938
7858,39,9216
90552,45,5608
26500,42,9214
73221,38,7236
34236,49,8687
44988,43,4236
67962,50,9674
45088,43,7805
17376,33,7154
28100,38,8212
89884,43,7612
6071,39,6604
52558,43,7417
14170,40,6067
99151,51,5388
2060,30,-1
42370,36,5126
73259,55,8189
8953,29,11220
84494,35,10134
90138,38,-1
51451,46,5101
89300,29,7681
29017,41,10852
30673,47,7139
30781,43,6251
64832,39,8004
13735,30,-1
4940,45,7277
86898,42,5998
74688,43,7238
51461,48,6097
22644,48,-1
33134,53,6025
67842,57,4686
50305,31,7688
84915,36,8214
70282,35,7961
72164,54,9760
4124,38,8645
53063,37,7008
86515,43,8341
33640,33,-1
65804,50,5091
79934,35,8718
42352,39,-1
60829,46,5197
96224,48,7165
88360,43,10644
51547,43,7693
73736,43,7583
53300,37,11054
13577,41,9014
16367,27,7867
34205,34,6865
68316,46,6914
78825,37,8979
30510,37,10795
76451,40,-1
2225,45,7587
21567,51,6338
27229,53,5779
67150,35,7964
35254,47,8062
86959,50,9099
28717,43,10032
28558,30,8378
63354,32,8761
18346,46,8736
19204,27,-1
82642,40,7722
52506,37,-1
15440,52,6800
65393,58,8289
50303,41,7570
79951,43,6476
28137,33,6894
27047,52,7586
32440,22,8115
64127,53,6153
91431,28,7455
72696,30,10594
16522,43,7956
34276,44,7485
6691,44,7824
68163,36,6027
11806,48,8773
60215,46,7610
23155,30,9678
97748,20,9638
39246,45,7877
48553,38,7846
19164,44,6049
25749,56,8854
33594,38,7432
21890,41,8521
86627,51,7038
93387,44,7150
8384,37,7851
56933,43,6776
33862,50,6050
36721,47,5469
82415,38,7682
61257,45,5362
82278,45,6513
57884,13,8620
30181,32,8476
97373,24,9346
24034,34,7515
31743,38,5349
94369,44,5060
52925,56,4904
39480,40,8286
59845,36,7534
75533,37,10840
23158,35,10347
93282,31,8218
51181,43,5848
15901,31,9626
92611,45,9191
12490,52,-1
43706,26,7890
93746,37,5059
45966,41,7334
83134,34,7026
57669,34,9491
48594,56,6531
66702,51,7801
57359,46,7809
37657,38,7608
21729,33,9234
84735,36,6419
94723,34,9337
11098,36,6831
72147,41,7491
38625,36,-1
65060,35,5515
84351,45,-1
66812,51,7900
6334,40,8239
13928,42,-1
94765,42,8937
93194,44,6584
62917,35,7226
24542,30,8753
3175,29,8595
82914,50,7988
79562,39,8071
25140,40,6619
12757,38,-1
74674,26,10532
11069,45,5028
7142,29,8838
56338,50,8286
39953,22,8719
28342,47,7816
41752,47,6906
1910,38,6838
25730,41,7642
67634,40,9684
98174,38,8413
69920,36,9466
88888,28,8268
7200,22,8185
67521,48,7928
14009,48,-1
44796,34,8013
49870,43,8284
85710,48,9926
86154,26,8004
46282,35,8156
81135,36,7583
10054,56,4035
4385,44,-1
37870,40,8521
53666,36,7430
92105,34,7785
76558,43,8096
1721,29,7756
47483,45,8456
47943,55,10654
68277,37,7774
33886,45,9085
65070,37,7472
68543,28,9083
84733,32,7569
58145,30,10648
80595,17,9538
15062,56,-1
28601,35,-1
11887,36,6519
46186,49,6089
11947,28,10851
66880,52,6527
84714,35,-1
8932,56,6740
70806,37,7022
32459,33,5707
30316,24,9125
63299,38,8387
66157,46,5329
11250,33,9741
37447,51,6364
85387,36,7958
27587,30,8571
77599,53,7031
43438,53,4000
7836,36,8318
7757,35,6614
50007,16,7743
30500,41,7438
16520,33,6276
53334,49,5805
23690,40,6773
21693,36,-1
66721,34,9537
4658,38,8519
86986,43,6916
11497,30,4895
50674,31,6351
91448,35,8700
11293,45,8453
85025,33,6238
21822,52,7902
18093,34,6999
35251,39,8639
58891,35,-1
84626,28,9580
15753,45,9571
41629,36,6636
32537,48,8484
54167,25,8079
7251,43,8058
52144,32,7467
37858,43,7034
84839,56,6861
87830,55,4789
77904,29,9342
92702,45,7561
26464,34,6243
61209,50,8983
81485,37,7884
81393,54,6247
12256,40,8054
47108,47,9165
64458,52,7533
37221,26,9263
23841,30,10344
23785,45,6627
73276,35,7397
23805,47,6506
85895,36,7103
55112,40,7283
24095,36,6729
24013,43,7422
49447,30,6439
7383,43,6891
6717,42,8290
50490,26,8461
87761,31,7888
41802,51,4930
69369,30,7016
46370,44,5794
72641,40,8352
59400,46,6131
59239,38,-1
60476,55,5912
73558,37,8878
56443,32,7245
92567,37,10585
8296,40,9128
62449,36,5447
56466,38,7132
62392,42,7192
39813,36,8507
36058,36,-1
23209,39,8976
93135,47,10673
80430,43,6398
76782,51,6027
11402,27,6934
31960,46,6744
62346,46,-1
73266,39,8406
40447,55,5472
90779,57,6106
10917,36,-1
16949,41,4619
60073,42,10306
80939,44,10681
65346,49,8605
74689,39,6886
59276,47,9954
86179,48,8084
71935,43,9406
20013,65,-1
26557,31,5888
23323,60,3812
37545,38,7132
92039,52,-1
27126,54,9486
36532,46,6029
40255,57,6909
69808,54,10051
14121,44,7449
11541,44,9230
62840,55,8466
63182,36,8439
11372,35,5989
79489,44,9146
31355,42,6293
64786,50,7691
82923,49,8295
1697,30,5997
57768,56,8409
58131,38,7765
67972,40,3827
76371,36,8702
88961,45,7623
8586,35,6371
95825,24,8641
44745,32,7609
9508,45,5541
71660,48,7959
75497,46,8123
16323,32,7584
75860,34,5883
54267,42,6307
8615,38,7886
94581,28,7935
41692,43,6721
46236,49,9404
89550,41,6513
590,47,10169
75102,47,7654
66532,51,6056
88532,37,9493
33088,30,5229
19212,36,-1
52377,35,4274
24619,46,7883
83246,47,8787
80527,46,6512
16866,55,5336
88002,32,5020
55346,34,10010
92932,36,9049
80608,42,7904
29776,30,7892
74047,32,9144
89519,22,6060
10408,35,8354
95652,48,-1
69199,45,6501
73958,30,-1
7116,46,7896
36838,39,5260
16528,31,8517
65575,54,4705
91728,51,7770
14228,37,8115
18045,39,8356
52002,56,-1
53980,39,7714
37026,29,9556
79958,40,9118
62686,33,9467
31206,47,5580
67640,34,7284
7110,46,6049
69038,29,8536
56279,46,8254
36857,38,8634
59950,49,8185
34119,49,8363
35347,38,7504
49638,39,7259
11712,42,7057
17913,50,6312
46494,38,7960
65232,46,7926
47314,21,8387
99471,35,8455
25908,50,3802
74973,28,9963
75299,41,8912
57634,45,8775
95159,33,8577
14461,36,7745
65890,36,7255
16398,36,9263
61376,46,11326
62973,42,10076
44534,36,-1
22089,38,9012
68733,38,10518
63792,42,5562
73362,32,9184
15294,45,-1
65332,32,8342
2235,39,5682
92173,50,8340
90439,34,7361
1640,26,7861
86000,33,7107
12896,49,6020
83528,48,5107
39892,48,6415
56847,55,9179
56183,48,6485
73434,28,8362
36465,33,-1
34402,45,8248
60446,44,9377
91211,38,9108
31333,49,8102
21079,50,7867
3586,33,10245
38269,29,8897
98588,27,-1
36591,47,8023
11965,42,6768
7743,21,7078
35696,48,7064
50211,36,7780
42859,33,9332
70140,51,7789
58395,37,8286
19064,41,6904
93458,22,-1
56755,34,9468
86259,47,7895
60419,44,7686
80008,28,7259
50995,52,5930
66442,62,5483
82849,37,6229
41276,31,10640
56293,40,8928
883,40,6667
69919,49,7082
40228,40,8631
96062,30,8056
2662,32,7375
78695,40,9950
74480,43,7082
43076,36,8075
19559,33,8117
73456,39,6681
67242,30,7741
90357,36,-1
23894,38,8779
33704,27,8675
92805,44,9446
77657,50,-1
44707,34,8387
80292,35,7043
50452,26,9975
96385,38,7458
78557,33,7330
91969,43,9716
90159,40,10720
60192,47,7498
15902,38,7214
69325,32,9346
59705,42,7239
14721,40,9591
78358,57,7454
70436,45,6865
42697,24,10897
41517,55,-1
33947,50,6338
24059,42,7507
38753,52,8010
82405,26,7775
22039,44,7099
40450,37,-1
47699,32,7348
80296,42,7053
98981,45,7951
250,34,7564
41388,38,6967
84855,35,7597
39707,38,8846
7876,25,8526
38791,43,6410
42223,44,5119
49301,43,7615
73877,28,-1
41156,53,6990
26729,44,6013
22379,68,4610
64321,39,-1
28710,33,6558
69913,24,9502
64476,38,-1
77039,28,7950
46443,62,7403
4063,30,6656
7117,44,6104
70996,35,8976
46727,42,8031
88126,30,9575
37390,16,10491
29823,45,-1
32004,38,9070
12330,44,6859
95884,50,-1
98125,45,7556
56201,29,8359
56420,39,5931
27418,45,6081
30948,37,7454
48174,43,8512
9541,41,8978
51062,42,6645
57670,29,9868
49261,35,5589
19645,36,8409
94034,34,5841
1309,28,6619
40978,41,8738
10214,41,-1
6316,36,9903
80352,54,6667
61601,59,5967
82851,45,4326
26591,41,-1
419,25,6377
54180,44,7646
98170,34,6987
59339,30,6045
98739,38,10051
2946,45,-1
70711,28,7577
46258,38,8505
59098,37,7552
67601,56,8434
37810,34,9135
44196,29,8195
72426,35,9806
27264,37,9816
56019,30,7988
11583,43,-1
49995,50,7863
61555,42,7382
45497,44,-1
67710,45,5275
32819,35,8028
86471,36,7370
51555,53,-1
2037,46,5180
76336,38,6366
16635,29,6763
29440,42,6543
9790,65,5645
64451,48,7080
62616,50,7028
60133,45,5629
70370,28,-1
26164,32,4872
55952,55,5003
50505,37,8980
62975,48,7256
32579,42,7148
31871,54,3540
71676,48,6031
46274,56,6721
19273,22,9833
85832,29,7251
63340,42,4907
44315,30,7937
80933,50,7728
98598,48,7318
96657,33,9557
23637,35,5733
88989,39,10291
61986,28,9785
21666,27,9012
69232,43,7585
26397,39,8367
10064,45,7741
72151,42,7622
94764,42,7431
2430,35,7332
48660,51,7659
69602,51,-1
1285,44,9422
45660,51,6231
75231,54,5784
64475,41,6726
93193,39,-1
35874,46,6133
21941,33,6155
70853,50,6129
85498,26,6876
86977,31,6926
8569,40,6578
79765,56,8453
2318,41,9006
93144,44,10580
70116,26,4927
55117,33,7641
66339,30,6431
53056,37,8050
1655,34,9737
86273,39,-1
16861,48,-1
63848,37,7360
7315,53,6437
70584,47,10204
60716,65,5615
82628,32,8114
21793,63,6396
93711,38,8311
50463,35,-1
68631,46,6355
90877,40,7805
98567,47,7187
51582,35,6722
10078,40,6768
86693,40,9644
85970,41,7803
65351,59,5744
86635,27,7855
38124,37,-1
98866,42,6479
87635,38,6856
72085,21,7284
33940,46,4953
36017,62,5039
23503,51,10320
42473,41,8208
92811,57,4086
36238,46,5541
4510,47,5846
12649,39,7390
14956,34,7593
59452,44,9364
82708,42,-1
55953,37,6739
15777,36,6049
11861,45,4761
99432,44,-1
95226,27,5624
98369,39,9384
34789,41,-1
29355,44,6228
46189,39,-1
66160,45,8201
45451,58,5309
15598,46,5332
40381,45,7438
81074,46,7760
12106,34,9926
48433,44,5502
97144,31,-1
95645,54,8029
87484,28,8349
71712,58,3013
13839,40,9802
47615,40,-1
53548,47,-1
12889,35,8660
69999,31,7718
53623,34,6588
10291,41,9481
9922,40,-1
73600,39,6237
63331,20,8634
69940,47,7878
87914,48,6830
20282,50,5389
88274,42,6794
22835,26,8582
5112,48,8160
18815,37,-1
97906,55,7785
3935,51,5527
74839,56,6766
67239,48,8389
6138,48,9499
22602,48,6703
98093,44,5908
14762,40,7934
32002,36,-1
60893,49,4213
2771,45,6163
40283,34,7101
13278,33,7920
60243,39,4505
17892,42,5970
45146,43,6542
6323,31,6149
43972,52,-1
54785,42,8658
90284,46,-1
43990,41,9572
62822,40,6241
42947,25,-1
55376,46,7125
44000,24,-1
3394,41,7763
54119,36,5710
20138,33,8970
33333,33,6167
42061,47,6313
89083,50,7692
62803,59,5081
42651,51,9255
11746,65,4244
46933,46,6080
47876,51,9042
70796,28,9148
37144,36,6767
23963,43,8916
88003,40,5220
66953,33,8016
82116,30,5795
87894,35,6300
63162,40,6635
16249,42,9541
79585,31,8444
17502,32,6794
18634,47,9367
14377,55,6355
96106,52,-1
46616,34,-1
90230,49,-1
35826,38,7161
77547,55,8574
9819,41,6737
7663,48,6777
31703,33,9555
70090,43,7890
58439,36,8722
87466,39,5788
96697,45,8479
2299,37,6934
34284,29,-1
21389,33,-1
94671,63,8339
84136,55,7092
7115,35,7907
12479,55,8347
10981,30,8287
6348,39,8872
96933,39,9415
75425,55,6393
54446,32,-1
75936,52,8789
33634,39,7441
43885,27,7461
82154,52,7644
812,43,-1
16606,34,-1
20770,42,6274
91918,33,6295
13940,34,6088
6592,39,10721
71205,35,-1
28815,31,7900
41187,42,7009
29972,61,7413
72079,49,6084
85416,39,8352
95065,44,8561
79925,39,-1
98590,42,8597
92537,33,6992
3629,51,7565
8959,34,8825
70845,38,-1
68198,48,7306
44491,35,4863
81563,37,9044
92519,35,8546
91479,57,7398
651,43,3506
62696,40,8221
73520,36,8012
32730,49,8646
38357,28,6822
87071,42,7502
62086,40,-1
7112,41,7290
65644,44,7688
73009,56,-1
14038,36,7019
78107,35,7546
25955,52,7976
70057,42,4970
44530,42,7391
7427,51,-1
87540,48,10349
67924,24,7683
92531,33,8171
28471,39,-1
97890,22,6887
98424,49,7434
97799,48,7835
24455,50,8599
71209,44,5112
8449,45,9214
19783,55,5443
60255,49,9855
43711,37,6498
18598,43,8084
25182,67,-1
96668,35,8164
76761,47,6686
13244,24,8405
50473,40,-1
65639,44,7028
95750,46,-1
77719,31,7077
92033,42,8809
50334,41,7930
55490,49,-1
91657,55,6468
74156,49,8602
72029,42,9929
60989,34,10516
9689,35,3918
23186,27,-1
67955,32,9043
20424,33,6667
83913,36,5856
50783,45,6825
51204,35,10501
41254,32,8226
17289,44,6942
55815,45,7691
11006,51,6933
11321,38,5070
59240,29,6762
55821,45,8537
51976,54,5685
83352,28,7681
75378,53,3849
14544,28,8413
49771,42,9329
99184,38,10297
64720,43,5105
97904,38,7014
65870,35,8033
58424,23,6206
80204,28,-1
22992,50,5865
79536,30,11339
85100,37,9011
96189,28,8882
21495,48,6883
66489,44,8433
23126,42,-1
84709,41,6746
23850,41,7022
49333,33,11664
37533,32,8966
82952,42,7922
72538,29,7783
12351,33,8672
19540,47,8250
67348,47,5668
6843,35,8227
20260,33,7498
13674,44,-1
93054,27,9031
70754,47,7807
64337,37,8917
2638,38,8560
74562,49,7039
37037,48,6056
512,37,7674
24397,48,7735
79528,42,8678
85466,46,5749
8970,33,5602
40841,44,10219
15199,48,-1
17919,43,6285
81634,52,7102
18694,32,6447
16280,52,4547
25844,53,5922
89520,43,10036
67240,25,-1
92413,57,6678
65682,35,8065
96947,30,10747
84378,38,9020
66813,36,-1
